execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER_ACCOUNT,First_join,First_tweet,Comments ,Twitterlist
125,Warren E. Buffett,YES,Blue,@WarrenBuffett,4/19/2013,5/2/2013,low tweets ,1
46589,Warren S. Rustand,,Green,@WRspeaks,6/13/2012,,No tweeted ,1
33564,"William A. Roper, Jr.",,Red,@TBIVET,1/17/2013,5/21/2013,fake account,1
34372,"William B. Van Vleet, III",,Green,@wbvanvleet,10/30/2013,1/30/2014,retair ,1
33179,"William C. Lucia, FLMI",YES,Green,@BCLHMS,11/11/2011,10/10/2013,,1
18385,William D. Zollars,,Red,@BillZollars,7/9/2009,6/11/2012,fake account,1
28522,William S. Kirsch,,Green,@WilliamKirsch,9/21/2011,9/21/2011,low tweets ,1
40454,Wyman T. Roberts,YES,Green,@wymanroberts,3/5/2011,3/25/2011,,1
14660,,,Green,@AetnaPresident,2/20/2012,,"protected, 1",1
31890,,,Red,@BobSinnott,8/22/2011,,"protected, 8",1
33974,,,Green,@BruceGPage,6/17/2009,,"Protected, 109",1
26006,,,Red,@CEOITT,11/2/2010,,fake account,1
17063,,,Red,@DonSlager,2/11/2011,,No tweeted ,1
28680,,,Green,@Dr_Wentz,9/8/2009,,"protected, 0",1
26962,,,Red,@ezradabah,1/27/2010,,"protected, 3",1
45208,,,Green,@fractals,6/17/2007,,"protected, 52.1k",1
43774,,,Green,@HarryatNIC,11/6/2008,,No tweeted ,1
7518,,,Green,@jsboger,3/5/2010,,"protected, 3",1
37470,,,Red,@kcolony,5/5/2010,,No tweeted ,1
22845,,,Green,@klaassentweet,6/25/2011,,"Protected, 5",1
21613,,,Green,@paultoback,4/15/2011,,"Protected, 6",1
27541,,,Red,@RandallLStephen,N/A,,fake account,1
25842,,,Red,@SanjayJha_SD,10/23/2013,,"protected, 15",1
29730,,,Red,@ScottJSeymour,7/24/2012,,"protected, 1674",1
37577,,,Green,@strausszelnick,12/7/2008,,"Protected, 632",1
40008,,,Green,@williamlansing,4/17/2009,,"Protected, 2",1
