execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER_ACCOUNT,First_join,First_tweet,Comments ,Twitterlist
23615,Gary D. Burnison,YES,Green,@gary_burnison,5/15/2012,5/18/2012,,1
31642,Gary D. Newsome,YES,Green,@HealthMgmtCEO,2/9/2011,3/1/2011,,1
37053,Gary E. Robinette,,Green,@grobin20,6/2/2009,12/28/2012,,1
13878,George A. Zimmer,,Blue,@georgezimmer,8/20/2014,9/23/2014,retair ,1
10823,George E. Deese,,Red,@DeeseGeorge,10/28/2011,10/30/2011,fake account,1
37542,George F. Colony,YES,Green,@gcolony,8/26/2008,8/26/2008,,1
21476,Gerald L. Storch,,Green,@GeraldStorch,10/10/2013,10/30/2013,retailr,1
23358,Gregory F. Milzcik,,Red,@GregoryMilzcik,10/8/2012,,No tweeted ,1
31206,Gregory L. Ebel,,Red,@gregebel,7/7/2010,,No tweeted ,1
18593,Gregory Q. Brown,,Blue,@gregbrownmoto,2/18/2011,2/21/2011,,1
40739,Gregory R. Gianforte,YES,Green,@gianforte,3/25/2009,6/24/2009,New,1
28736,Gregory S. Marcus,YES,Green,@gregmarcus,4/20/2009,4/21/2009,,1
26254,Gregory W. Becker,,Green,@gregwbecker,12/1/2010,,No tweeted ,1
34738,Gregory W. Cappelli,,Green,@gregwcappelli,1/27/2015,,No tweeted ,1
43726,Guy Gecht,,Green,@GuyGecht,3/14/2012,4/2/2012,,1
20918,"Hector De J. Ruiz, Ph.D.",,Green,@DrHectordeJRuiz,10/4/2013,10/4/2013,retair ,1
10308,Henry H. Gerkens,,Red,@pvbhenry,10/18/2012,5/2/2013,fake account,1
15182,Henry R. Nothhaft,,Green,@HnRRacingLLC,7/6/2011,10/28/2011,retair ,1
34266,Hikmet Ersek,YES,Blue,@WesternUnionCEO,7/10/2012,7/12/2012,,1
887,Howard D. Schultz,,Red,@ScandalSchultz,5/28/2015,5/28/2015,fake account,1
44610,Hubert Joly,,Red,@HubertBJoly,N/A,,fake account,1
36324,Irving L. Azoff,YES,Blue,@irvingazoff,6/27/2009,6/27/2009,,1
36749,J. Coley Clark,,Green,@coleyclark,2/12/2009,2/12/2009,,1
31412,J. Edward Coleman,YES,Green,@colemaned,5/24/2009,5/29/2012,New,1
40205,J. Eric Cooney,,Red,@Eric_Cooney,2/1/2014,,No tweeted ,1
44847,J. Patrick Doyle,,Red,@DominoesCEO,4/14/2015,4/14/2015,fake account,1
1486,James D. Sinegal,,Red,@CostcoJames,8/28/2014,,No tweeted ,1
784,"James E. Rogers, Jr.",,Green,@AllJimRogers,10/31/2009,10/31/2009,,1
7768,"James H. DeGraffenreidt, Jr.",YES,Green,@JDJR2009,1/19/2009,1/20/2009,New,1
28220,James M. Whitehurst,YES,Blue,@JWhitehurst,1/27/2009,1/27/2009,,1
40232,James P. Dolan,,Red,@not_JamesDolan,N/A,1/26/2012,No tweeted ,1
25386,James S. Metcalf,YES,Green,@JimMetcalf_USG,9/30/2013,10/1/2013,,1
40062,Jay H. Bhatt,,Green,@JayBhattTweets,7/4/2013,7/11/2013,retair ,1
27472,Jeffery R. Gardner,YES,Red,@jefferyrgardner,1/10/2011,4/21/2011,fake account,1
