execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
34756,Donnie Smith,,Green,@TysonFoodsCEO,10/2/2014,10/29/2014,,1,2162,202
18523,Douglas H. Yaeger,,Red,@dougyaeger,8/23/2010,,No tweeted ,1,5,16
12560,Douglas R. Conant,,Green,@DougConant,3/1/2011,5/16/2011,retair ,1,100342,4996
46671,Eamonn P. Hobbs,,Green,@EPHobbs,11/30/2009,10/9/2012,retair ,1,67,108
28550,Edward T. Colligan,,Green,@EdColligan,11/21/2011,11/21/2011,low tweets ,1,8,4
44109,Edward Washecka,,Green,@edwardwashecka,9/20/2011,7/14/2014,low tweets ,1,36,78
32759,Elmer N. Baldwin, ,Green,@ElmerBaldwin,1/13/2011,1/13/2011,retair ,1,104,71
15581,Enrique T. Salem,,Green,@EnriqueSalem,10/16/2012,10/16/2012,,1,294,53
14164,"Eric E. Schmidt, Ph.D.",YES,Blue,@ericschmidt,12/1/2009,12/7/2009,,1,1314282,235
18264,Eric J. Schiffer,,Red,@EricSchiffer99,10/14/2011,10/19/2011,fake account,1,4,0
29936,Erik Vonk,,Green,@ErikVonk,8/3/2009,9/2/2009,retair ,1,441,429
34378,Federico Pignatelli,YES,Green,@FederPignatelli,8/4/2011,9/19/2012,,1,17,47
28209,Fernando G. Aguirre,YES,Green,@FdoAguirreCEO,2/7/2011,3/3/2011,,1,6327,121
43017,G. Tyson Tuttle,,Green,@gttuttle,2/15/2009,12/13/2013,low tweets ,1,172,65
10049,Garry O. Ridge,YES,Green,@LearningMoment,1/10/2010,1/10/2010,,1,792,286
2385,Gary C. Butler,,Green,@CamgianCEO,1/7/2014,1/9/2014,retair ,1,1200,1293
23615,Gary D. Burnison,YES,Green,@gary_burnison,5/15/2012,5/18/2012,,1,306,19
31642,Gary D. Newsome,YES,Green,@HealthMgmtCEO,2/9/2011,3/1/2011,,1,12,0
37053,Gary E. Robinette,,Green,@grobin20,6/2/2009,12/28/2012,,1,93,228
13878,George A. Zimmer,,Blue,@georgezimmer,8/20/2014,9/23/2014,retair ,1,7416,383
10823,George E. Deese,,Red,@DeeseGeorge,10/28/2011,10/30/2011,fake account,1,7,73
37542,George F. Colony,YES,Green,@gcolony,8/26/2008,8/26/2008,,1,15769,66
21476,Gerald L. Storch,,Green,@GeraldStorch,10/10/2013,10/30/2013,retailr,1,321,472
23358,Gregory F. Milzcik,,Red,@GregoryMilzcik,10/8/2012,,No tweeted ,1,1,0
31206,Gregory L. Ebel,,Red,@gregebel,7/7/2010,,No tweeted ,1,73,1
18593,Gregory Q. Brown,,Blue,@gregbrownmoto,2/18/2011,2/21/2011,,1,2987,26
40739,Gregory R. Gianforte,YES,Green,@gianforte,3/25/2009,6/24/2009,New,1,2022,71
28736,Gregory S. Marcus,YES,Green,@gregmarcus,4/20/2009,4/21/2009,,1,663,208
26254,Gregory W. Becker,,Green,@gregwbecker,12/1/2010,,No tweeted ,1,592,108
34738,Gregory W. Cappelli,,Green,@gregwcappelli,1/27/2015,,No tweeted ,1,33,32
43726,Guy Gecht,,Green,@GuyGecht,3/14/2012,4/2/2012,,1,744,171
20918,"Hector De J. Ruiz, Ph.D.",,Green,@DrHectordeJRuiz,10/4/2013,10/4/2013,retair ,1,122,80
10308,Henry H. Gerkens,,Red,@pvbhenry,10/18/2012,5/2/2013,fake account,1,70,64
15182,Henry R. Nothhaft,,Green,@HnRRacingLLC,7/6/2011,10/28/2011,retair ,1,264,454
34266,Hikmet Ersek,YES,Blue,@WesternUnionCEO,7/10/2012,7/12/2012,,1,10984,150
887,Howard D. Schultz,,Red,@ScandalSchultz,5/28/2015,5/28/2015,fake account,1,1228,2
44610,Hubert Joly,,Red,@HubertBJoly,N/A,,fake account,1,"[{'message': 'User not found.', 'code': 50}]"
36324,Irving L. Azoff,YES,Blue,@irvingazoff,6/27/2009,6/27/2009,,1,88616,33
36749,J. Coley Clark,,Green,@coleyclark,2/12/2009,2/12/2009,,1,130,88
31412,J. Edward Coleman,YES,Green,@colemaned,5/24/2009,5/29/2012,New,1,532,61
40205,J. Eric Cooney,,Red,@Eric_Cooney,2/1/2014,,No tweeted ,1,21,0
44847,J. Patrick Doyle,,Red,@DominoesCEO,4/14/2015,4/14/2015,fake account,1,3,40
1486,James D. Sinegal,,Red,@CostcoJames,8/28/2014,,No tweeted ,1,25,0
784,"James E. Rogers, Jr.",,Green,@AllJimRogers,10/31/2009,10/31/2009,,1,73014,10713
7768,"James H. DeGraffenreidt, Jr.",YES,Green,@JDJR2009,1/19/2009,1/20/2009,New,1,114,177
28220,James M. Whitehurst,YES,Blue,@JWhitehurst,1/27/2009,1/27/2009,,1,14078,64
40232,James P. Dolan,,Red,@not_JamesDolan,N/A,1/26/2012,No tweeted ,1,"[{'message': 'User not found.', 'code': 50}]"
25386,James S. Metcalf,YES,Green,@JimMetcalf_USG,9/30/2013,10/1/2013,,1,157,61
40062,Jay H. Bhatt,,Green,@JayBhattTweets,7/4/2013,7/11/2013,retair ,1,1756,349
27472,Jeffery R. Gardner,YES,Red,@jefferyrgardner,1/10/2011,4/21/2011,fake account,1,285,15
20752,Jeffery S. Potter,,Red,@HFCCchef,3/21/2011,4/1/2011,fake account,1,25,4
