execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
2967,Steven A. Ballmer,YES (But different account),Blue,@clippersteveb,8/26/2014,8/27/2014,retair ,1,10651,21
25174,Steven L. Spinner,,Green,@StevenSpinner,2/15/2012,1/13/2013,,1,251,231
36696,Steven M. Mollenkopf,,Red,@SteveMollenkopf,2/19/2014,,No tweeted ,1,503,36
12653,Steven S. Reinemund,,Red,@sreinemund,8/27/2007,2/10/2008,fake account,1,94,5
25381,"Stuart M. Essig, Ph.D.",,Red,@Stuartessig1,9/14/2014,3/1/2015,fake account,1,4,14
32267,Subrah S. Iyar,,Green,@SubrahIyar,8/19/2012,10/3/2013,retair ,1,276,20
32391,Sudhir Steven Singh,YES,Blue,@SteveSSingh,5/31/2009,6/28/2009,New,1,6827,534
29941,"Sung Won Sohn, Ph.D.",,Red,@ssohn123,9/30/2012,,No tweeted ,1,1,0
26887,Susan P. McGalla,,Green,@SusanMcGalla,4/1/2014,,No tweeted ,1,3,9
30486,Susan R. Salka,YES,Green,@SusanSalka,3/5/2012,3/9/2012,,1,581,53
42976,T. Kendall Hunt,YES,Green,@tkendallhunt,2/17/2010,2/18/2010,,1,22,21
44322,Terry A. Tevis,,Green,@TATinCT,10/21/2010,10/21/2010,low tweets ,1,36,20
16989,Thian Hoo Tan,,Red,@thtan1,31/06/2010,,No tweeted ,1,10,2
42279,Thomas D. Christopoul,,Green,@tchristopoul,3/6/2009,3/12/2009,,1,591,1556
13321,Tilman J. Fertitta,,Red,@TilmanFertitta,N/A,4/14/2012,fake account,1,11,13
11717,Timothy D. Cook,YES,Blue,@tim_cook,7/31/2013,9/20/2013,,1,3905837,56
14967,Timothy G. Biltz,YES,Green,@TimBiltz,3/13/2009,10/6/2010,low tweets ,1,45,102
37968,Timothy M. Armstrong,YES,Blue,@timarmstrongaol,1/4/2010,1/4/2010,,1,11134,447
45329,Todd A. Becker,,Red,@toddbecker1,10/19/2010,10/19/2010,fake account,1,110,15
46197,Vincent G. Miata,,Red,@VMiata,1/19/2009,4/8/2015,fake account,1,11,7
35092,Virginia M. Rometty,,Green,@GinniRometty,12/12/2011,,No tweeted ,1,19202,0
18583,Vivek Y. Ranadive,YES,Blue,@Vivek,3/10/2009,3/11/2009,,1,40732,113
5065,Walden C. Rhines,,Green,@waldencr,6/13/2008,,No tweeted ,1,150,5
37935,"Wallace E. Boston, Jr., Ed.D",YES,Green,@wallyboston,11/24/2008,3/12/2009,,1,1994,1999
29400,"Walter W. Bettinger, II",YES,Blue,@WaltBettinger,6/28/2010,6/5/2013,,1,3226,221
125,Warren E. Buffett,YES,Blue,@WarrenBuffett,4/19/2013,5/2/2013,low tweets ,1,1207271,0
46589,Warren S. Rustand,,Green,@WRspeaks,6/13/2012,,No tweeted ,1,52,0
33564,"William A. Roper, Jr.",,Red,@TBIVET,1/17/2013,5/21/2013,fake account,1,209,251
34372,"William B. Van Vleet, III",,Green,@wbvanvleet,10/30/2013,1/30/2014,retair ,1,84,38
33179,"William C. Lucia, FLMI",YES,Green,@BCLHMS,11/11/2011,10/10/2013,,1,255,490
18385,William D. Zollars,,Red,@BillZollars,7/9/2009,6/11/2012,fake account,1,8,1
28522,William S. Kirsch,,Green,@WilliamKirsch,9/21/2011,9/21/2011,low tweets ,1,7,10
40454,Wyman T. Roberts,YES,Green,@wymanroberts,3/5/2011,3/25/2011,,1,1476,55
14660,,,Green,@AetnaPresident,2/20/2012,,"protected, 1",1,do not authorize to access his/her account
31890,,,Red,@BobSinnott,8/22/2011,,"protected, 8",1,do not authorize to access his/her account
33974,,,Green,@BruceGPage,6/17/2009,,"Protected, 109",1,do not authorize to access his/her account
26006,,,Red,@CEOITT,11/2/2010,,fake account,1,do not authorize to access his/her account
17063,,,Red,@DonSlager,2/11/2011,,No tweeted ,1,do not authorize to access his/her account
28680,,,Green,@Dr_Wentz,9/8/2009,,"protected, 0",1,do not authorize to access his/her account
26962,,,Red,@ezradabah,1/27/2010,,"protected, 3",1,do not authorize to access his/her account
45208,,,Green,@fractals,6/17/2007,,"protected, 52.1k",1,do not authorize to access his/her account
43774,,,Green,@HarryatNIC,11/6/2008,,No tweeted ,1,do not authorize to access his/her account
7518,,,Green,@jsboger,3/5/2010,,"protected, 3",1,do not authorize to access his/her account
37470,,,Red,@kcolony,5/5/2010,,No tweeted ,1,39,177
22845,,,Green,@klaassentweet,6/25/2011,,"Protected, 5",1,do not authorize to access his/her account
21613,,,Green,@paultoback,4/15/2011,,"Protected, 6",1,do not authorize to access his/her account
27541,,,Red,@RandallLStephen,N/A,,fake account,1,user account is suspended
25842,,,Red,@SanjayJha_SD,10/23/2013,,"protected, 15",1,do not authorize to access his/her account
29730,,,Red,@ScottJSeymour,7/24/2012,,"protected, 1674",1,do not authorize to access his/her account
37577,,,Green,@strausszelnick,12/7/2008,,"Protected, 632",1,do not authorize to access his/her account
40008,,,Green,@williamlansing,4/17/2009,,"Protected, 2",1,do not authorize to access his/her account
