Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
BORG MANUFACTURING PTY LIMITED ,31003246357,34015,101018,1564934,2014,8,2015,7
BP AUSTRALIA INVESTMENTS PTY LTD ,66102991551,1389431,468664,30986613,2014,8,2015,7
BPIH PTY LIMITED ,61100364234,26747,24643,445546,2014,8,2015,7
BRADKEN LIMITED ,33108693009,21865,52782,658296,2014,8,2015,7
BRICKWORKS LTD ,17000028526,236645,103271,5124454,2014,8,2015,7
BROADSPECTRUM LIMITED ,69000484417,52619,23265,911374,2014,8,2015,7
CALEDON COAL PTY LIMITED ,40120967839,148596,24489,194748,2014,8,2015,7
CALTEX AUSTRALIA LIMITED ,40004201307,938680,197970,84698975,2014,8,2015,7
CARGILL AUSTRALIA LIMITED ,42004684173,101345,64949,2148703,2014,8,2015,7
CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED ,88121366041,52236,182850,7277998,2014,8,2015,7
CBH RESOURCES LIMITED ,27009423858,9179,76132,452456,2014,8,2015,7
CEMENT AUSTRALIA HOLDINGS PTY LTD ,99001085561,2632110,206137,12621137,2014,8,2015,7
CEMENT AUSTRALIA PTY LIMITED ,75104053474,37434,26652,662594,2014,8,2015,7
CENTENNIAL COAL COMPANY LIMITED ,30003714538,1459834,279808,1568924,2014,8,2015,7
CEVA PTY LTD ,27122147433,72970,28940,1154236,2014,8,2015,7
CHARTER HALL LIMITED ,57113531150,5965,83916,395789,2014,8,2015,7
CHEMCO PTY LTD ,68008725817,36857,149427,3220020,2014,8,2015,7
CHEVRON AUSTRALIA HOLDINGS PTY LTD ,60098079344,659356,10861,8319204,2014,8,2015,7
CIMIC GROUP LIMITED ,57004482982,77412,72142,1434467,2014,8,2015,7
CITIC PACIFIC MINING MANAGEMENT PTY LTD ,64119578371,468205,304,8705996,2014,8,2015,7
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS ,13332330749,14229,507129,3169379,2014,8,2015,7
CLARKE ENERGY (AUSTRALIA) PTY. LTD. ,20086492935,125058,0,140222,2014,8,2015,7
CLEANAWAY WASTE MANAGEMENT LIMITED ,74101155220,456756,31841,3260839,2014,8,2015,7
