Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
QUEENSLAND ALUMINA LIMITED ,98009725044,3082372,621224,42198740,2014,8,2015,7
QUEENSLAND CURTIS LNG PTY LTD ,77130857215,131688,9,2282763,2014,8,2015,7
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED ,82078849233,16588,1265149,5667601,2014,8,2015,7
QUEENSLAND NITRATES PTY LTD ,63079889268,170496,45347,3016761,2014,8,2015,7
QUEENSLAND RAIL LIMITED ,71132181090,40461,217120,1545849,2014,8,2015,7
R.G. WITHERS NOMINEES PTY LTD ,-,653,128970,488755,2014,8,2015,7
RAMSAY HEALTH CARE LIMITED ,57001288768,15221,155396,935749,2014,8,2015,7
RATA INTERNATIONAL PTY LTD ,67109036580,9189,45442,314358,2014,8,2015,7
RATCH - AUSTRALIA CORPORATION LIMITED ,31106617332,94811,5803,1423071,2014,8,2015,7
RCI HOLDINGS PTY LTD ,55101671121,31896,63523,746605,2014,8,2015,7
REECE LIMITED ,49004313133,16585,33571,369381,2014,8,2015,7
REGIONAL EXPRESS HOLDINGS LIMITED ,18099547270,102503,0,1478958,2014,8,2015,7
REGIONAL POWER CORPORATION ,57955011697,82670,38543,1401773,2014,8,2015,7
REGIS RESOURCES LIMITED ,28009174761,186711,0,2685238,2014,8,2015,7
REMONDIS AUSTRALIA PTY LTD  ,95002429781,188726,4231,825567,2014,8,2015,7
RESOLUTE MINING LIMITED ,39097088689,17171,54253,492473,2014,8,2015,7
RICEGROWERS LIMITED ,55007481156,10112,89162,543266,2014,8,2015,7
RIDLEY CORPORATION LIMITED ,33006708765,58228,75564,1447836,2014,8,2015,7
RIO DOCE AUSTRALIA PTY LIMITED ,63112797403,1024443,76588,567483,2014,8,2015,7
RIO TINTO LIMITED ,96004458404,8992286,9358888,158806734,2014,8,2015,7
RITCHIES STORES PROPRIETARY LIMITED ,61005041814,18534,81399,304807,2014,8,2015,7
RON FINEMORE TRANSPORT PTY. LTD. ,30106495087,74384,507,1152913,2014,8,2015,7
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY4 ,49781030034,7873,72746,371725,2014,8,2015,7
SAIPEM (PORTUGAL) COMERCIO MARITIMO SOCIEDADE UNIPESSOAL LDA ,25100388458,75599,181,1031361,2014,8,2015,7
SANDFIRE RESOURCES NL ,55105154185,76647,140,1103581,2014,8,2015,7
SANTOS LTD ,80007550923,4244110,32932,41427371,2014,8,2015,7
SARACEN MINERAL HOLDINGS LIMITED ,52009215347,87451,60,1302138,2014,8,2015,7
SCENTRE GROUP LIMITED ,66001671496,10637,300250,1358963,2014,8,2015,7
SEALED AIR AUSTRALIA (HOLDINGS) PTY LIMITED ,74102261307,3062,47931,208582,2014,8,2015,7
SEAROAD HOLDINGS PTY LTD ,16123749655,49532,1159,690961,2014,8,2015,7
SEDCO FOREX INTERNATIONAL INC ,44188717522,71381,56,1036069,2014,8,2015,7
SGSP (AUSTRALIA) ASSETS PTY LTD ,60126327624,541062,372893,5140116,2014,8,2015,7
SIBELCO ASIA PACIFIC PTY LTD ,70092916811,662675,244925,5214721,2014,8,2015,7
SILICON METAL COMPANY OF AUSTRALIA PTY LTD ,73009401736,100874,458265,5133932,2014,8,2015,7
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED ,23070571934,65628,64492,1539786,2014,8,2015,7
SIMS METAL MANAGEMENT LIMITED ,69114838630,33287,33655,616306,2014,8,2015,7
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED ,69096686190,2675,389611,1590884,2014,8,2015,7
SNOWY HYDRO LIMITED ,17090574431,15488,126290,737444,2014,8,2015,7
SOJITZ COAL RESOURCES PTY LIMITED ,34063050680,79220,25,1154035,2014,8,2015,7
SONIC HEALTHCARE LIMITED ,24004196909,8326,59645,381618,2014,8,2015,7
SOUTH AUSTRALIAN WATER CORPORATION ,69336525019,61606,189276,1773574,2014,8,2015,7
SOUTH32 LIMITED ,84093732597,6381990,875529,61521645,2014,8,2015,7
SPOTLESS GROUP HOLDINGS LIMITED ,27154229562,46139,46285,1034838,2014,8,2015,7
ST BARBARA LIMITED ,36009165066,82923,1450,1439701,2014,8,2015,7
ST JOHN OF GOD HEALTH CARE INC ,21930207958,14038,55429,465764,2014,8,2015,7
ST VINCENT'S HEALTH AUSTRALIA LTD ,75073503536,10654,99902,570780,2014,8,2015,7
STANWELL CORPORATION LIMITED ,37078848674,14737132,49835,110325675,2014,8,2015,7
STATE TRANSIT AUTHORITY OF NSW ,51750635629,155988,8387,2489842,2014,8,2015,7
STOCKLAND CORPORATION LTD ,43000181733,26344,98802,779403,2014,8,2015,7
SUEZ RECYCLING & RECOVERY HOLDINGS PTY LIMITED ,18002658255,531244,36046,1308258,2014,8,2015,7
SUN METALS HOLDINGS LIMITED ,30051538580,4573,734704,3333527,2014,8,2015,7
SUNWATER LIMITED ,17020276523,3003,132786,633807,2014,8,2015,7
SUPER RETAIL GROUP LIMITED ,81108676204,894,83004,353653,2014,8,2015,7
SVITZER AUSTRALASIA SERVICES PTY LIMITED ,18120555375,51458,2814,747750,2014,8,2015,7
SYDNEY AIRPORT LIMITED ,18165056360,5349,82999,441265,2014,8,2015,7
SYDNEY TRAINS ,38284779682,10595,527790,2363536,2014,8,2015,7
SYDNEY WATER CORPORATION ,49776225038,70595,298622,2167126,2014,8,2015,7
TASMANIAN NETWORKS PTY LTD ,24167357299,7825,89612,1681363,2014,8,2015,7
TELSTRA CORPORATION LIMITED ,33051775556,52632,1312774,6069791,2014,8,2015,7
TEYS AUSTRALIA PTY LTD ,38009872600,155478,113202,1786410,2014,8,2015,7
THALES AUSTRALIA HOLDINGS PTY LTD ,84058583841,55097,42013,461620,2014,8,2015,7
THE STAR ENTERTAINMENT GROUP LIMITED ,85149629023,10042,97595,615954,2014,8,2015,7
THE TRUSTEE FOR COSTA'S UNIT TRUST ,72534822931,44742,65897,798374,2014,8,2015,7
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST ,63604564597,71432,366,181650,2014,8,2015,7
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW) ,77005284605,5590,61507,355579,2014,8,2015,7
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.) ,25548385225,15296,84286,618699,2014,8,2015,7
THE UNIVERSITY OF QUEENSLAND ,63942912684,2117,126468,591912,2014,8,2015,7
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LTD ,20105099849,27105,38094,624428,2014,8,2015,7
TIDEWATER MARINE INTERNATIONAL INC ,52101311451,65783,74,944058,2014,8,2015,7
TOGA PTY LTD ,27000926947,6706,59657,378265,2014,8,2015,7
TOLL HOLDINGS LIMITED ,25006592089,531423,81205,7949002,2014,8,2015,7
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED ,64009686097,34065,110828,975679,2014,8,2015,7
TRANSALTA ENERGY (AUSTRALIA) PTY LTD ,40062135844,769823,53,9989694,2014,8,2015,7
TRANSDEV AUSTRALASIA PTY LTD ,40079303816,120130,7642,1853728,2014,8,2015,7
TRANSGRID ,19622755774,17722,863754,3689533,2014,8,2015,7
TRANSIT SYSTEMS PTY LTD ,34135200609,80763,5527,1447026,2014,8,2015,7
TRANSURBAN HOLDINGS LIMITED ,86098143429,1256,54085,213139,2014,8,2015,7
TREASURY WINE ESTATES LIMITED ,24004373862,11562,45940,374597,2014,8,2015,7
TRILITY GROUP PTY LTD ,39144522565,4880,97115,527206,2014,8,2015,7
TRONOX MANAGEMENT PTY LTD ,59009343364,680269,152202,11252434,2014,8,2015,7
TT-LINE COMPANY PTY. LTD. ,39061996174,142391,1141,1836925,2014,8,2015,7
TWENTIETH SUPER PACE NOMINEES PTY. LTD. ,16005855327,82961,6582,1217437,2014,8,2015,7
UNITED ENERGY DISTRIBUTION HOLDINGS PTY LIMITED ,15104381660,9948,466463,1549521,2014,8,2015,7
UNIVERSITY OF MELBOURNE ,84002705224,15681,139862,722200,2014,8,2015,7
UNIVERSITY OF NEW SOUTH WALES ,57195873179,4734,69849,369098,2014,8,2015,7
UNIVERSITY OF SYDNEY ,15211513464,7739,88246,509600,2014,8,2015,7
USG BORAL BUILDING PRODUCTS PTY LIMITED ,84004231976,76486,42234,1700166,2014,8,2015,7
V/LINE PASSENGER CORPORATION ,-,92972,17526,1387251,2014,8,2015,7
VALMONT GROUP HOLDINGS PTY LTD ,60094882210,12110,41087,411645,2014,8,2015,7
VENTURA MOTORS PROPRIETARY LIMITED ,67004235518,49318,3187,716754,2014,8,2015,7
VEOLIA WATER AUSTRALIA PTY LTD ,99061161279,77417,66909,1348342,2014,8,2015,7
VERMILION OIL AND GAS AUSTRALIA PTY LTD ,29113023591,59363,155,783723,2014,8,2015,7
VICINITY LIMITED ,90114757783,11198,237133,1061574,2014,8,2015,7
VICTORIA POWER NETWORKS PTY LTD ,37116940820,19977,1214868,3960424,2014,8,2015,7
VILLAGE ROADSHOW LIMITED ,43010672054,3953,61863,316704,2014,8,2015,7
VIRGIN AUSTRALIA HOLDINGS LIMITED ,54100686226,2576182,18104,37087849,2014,8,2015,7
VIVA ENERGY AUSTRALIA GROUP LTD ,60004400220,1088074,344609,15588375,2014,8,2015,7
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED ,76096304620,115,172853,713643,2014,8,2015,7
WA COUNTRY HEALTH SERVICE ,28680145816,10095,48690,397796,2014,8,2015,7
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED ,15071945232,29311,47466,707731,2014,8,2015,7
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED ,49000002728,127264,43478,1718716,2014,8,2015,7
WASTE ASSETS MANAGEMENT CORPORATION ,56784733957,147382,1363,35807,2014,8,2015,7
WATER CORPORATION ,28003434917,75477,649183,3568872,2014,8,2015,7
WESFARMERS LIMITED ,28008984049,1379581,2548761,29875185,2014,8,2015,7
WESTERN AREAS LTD ,68091049357,17019,44834,463624,2014,8,2015,7
WESTPAC BANKING CORPORATION ,33007457141,5783,160238,763130,2014,8,2015,7
WHITEHAVEN COAL LIMITED ,68124425396,690752,71095,3128361,2014,8,2015,7
WILMAR AUSTRALIA HOLDINGS PTY LIMITED ,79144972743,167896,85456,48986512,2014,8,2015,7
WOLLONGONG COAL LIMITED ,28111244896,308494,25972,139257,2014,8,2015,7
WOODSIDE PETROLEUM LTD. ,55004898962,10080219,7527,1309714413,2014,8,2015,7
WOOLWORTHS LTD ,88000014675,315311,2464023,10827243,2014,8,2015,7
YANCOAL AUSTRALIA LTD ,82111859119,1042459,207593,36782793,2014,8,2015,7
YARA PILBARA FERTILISERS PTY LTD ,74095441151,1611569,0,28414574,2014,8,2015,7
YFG SHOPPING CENTRES LTD PTY AS TRUSTEE FOR THE FU FAMILY TRUST,56853441699,0,50243,223303,2014,8,2015,7
YOLARNO PTY LTD ,95002255183,32729,17696,281520,2014,8,2015,7
