Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
CITIC Pacific Mining Management Pty Ltd,127419,388,2017453,2010,8,2011,7
City of Greater Geelong,70834,27178,314930,2010,8,2011,7
Clarke Energy (Australia) Pty Ltd,115325,0,2263333,2010,8,2011,7
Cliffs Asia Pacific Iron Ore Pty Ltd,88538,305,1334325,2010,8,2011,7
Coca-Cola Amatil Limited,52463,122591,1383391,2010,8,2011,7
ComfortDelGro Cabcharge Pty Ltd.,81091,3450,1173201,2010,8,2011,7
Comgen Australia Pty Ltd,467998,10027,1622562,2010,8,2011,7
Commonwealth Bank of Australia,20736,387520,1812799,2010,8,2011,7
Commonwealth Scientific and Industrial Research Organisation,15622,116627,723398,2010,8,2011,7
Competitive Foods Australia Pty Ltd,14824,130556,766288,2010,8,2011,7
Conoco Phillips Australia Gas Holdings Pty Ltd,1679218,1671,221828266,2010,8,2011,7
Consolidated Minerals Holdings (Australia) Pty Ltd,114431,1131,1758039,2010,8,2011,7
Controlling Corporation Griffith University,1277,55239,242526,2010,8,2011,7
Contura Mining Pty Ltd,54596,2179,796113,2010,8,2011,7
Cristal Australia Pty Ltd,49466,61744,944281,2010,8,2011,7
Crown Limited,35584,164337,1239659,2010,8,2011,7
CSL Limited,11997,63067,416833,2010,8,2011,7
CSR Limited,510497,349813,39058202,2010,8,2011,7
D&R Henderson Pty Ltd,19369,48529,655019,2010,8,2011,7
Dalrymple Bay Coal Terminal Pty Ltd,933,85782,360609,2010,8,2011,7
David Jones Limited,5009,101602,411895,2010,8,2011,7
DBNGP (WA) Transmission Pty Limited,264234,1714,4738920,2010,8,2011,7
Deakin University,7910,46547,280157,2010,8,2011,7
Delta Electricity,19793460,189016,231098664,2010,8,2011,7
Dexus Holdings Pty Limited,8702,123421,586741,2010,8,2011,7
Donaldson Coal Pty Limited,53437,21129,207553,2010,8,2011,7
Doral Pty Ltd,18778,76007,628304,2010,8,2011,7
Downer EDI Limited,217793,47768,9670981,2010,8,2011,7
DP World Australia (Holding) Pty Ltd,34831,50454,692242,2010,8,2011,7
Eastern Star Gas Limited,80517,198,794794,2010,8,2011,7
Ecogen Holdings Pty Ltd,158432,33415,3276150,2010,8,2011,7
Elders Limited,24166,40759,511465,2010,8,2011,7
ElectraNet Pty Ltd,4237,224076,1151749,2010,8,2011,7
Electricity Generation Corporation T/A Verve Energy,7918036,6113,104059488,2010,8,2011,7
Electricity Networks Corporation,22165,956773,4469452,2010,8,2011,7
Endeavour Energy,13841,646376,2765011,2010,8,2011,7
Energex Limited,28795,1149620,5623292,2010,8,2011,7
Energy Developments Limited,707245,2595,21030161,2010,8,2011,7
Envestra Limited,403693,51,256,2010,8,2011,7
Envirogen Pty Ltd,130079,81,2305788,2010,8,2011,7
Epic Energy Holdings Pty Limited,76135,1078,1092151,2010,8,2011,7
Eraring Energy,11725490,79764,136521278,2010,8,2011,7
Ergon Energy Corporation Limited,106157,771915,4685392,2010,8,2011,7
ERM Kwinana Holding Pty Ltd,796720,736,15625463,2010,8,2011,7
ERM Power Limited,63970,2732,1263529,2010,8,2011,7
Esperance Power Station Pty Ltd,63822,0,1173377,2010,8,2011,7
Essential Energy,45711,781536,3615355,2010,8,2011,7
ETSA Utilities,14649,552911,2927648,2010,8,2011,7
Exxonmobil Australia Pty Ltd,2499336,256282,628000688,2010,8,2011,7
F & F Management Pty. Ltd,1990,57514,243375,2010,8,2011,7
Fairfax Media Limited,9078,84873,457701,2010,8,2011,7
Farstad Shipping (Indian Pacific) Pty Ltd,160862,145,2315193,2010,8,2011,7
Finasucre Investments (Australia) Pty Limited,80803,14505,11829471,2010,8,2011,7
Fitness First Asia Pacific Group Pty Limited,3859,57570,295260,2010,8,2011,7
Fletcher Building (Australia) Pty Ltd,93669,332074,4205296,2010,8,2011,7
Food Investments Pty Ltd,107486,171717,2396496,2010,8,2011,7
Ford Motor Company of Australia Limited,31016,182502,1112171,2010,8,2011,7
Forestry Commission Of New South Wales,62348,2091,903573,2010,8,2011,7
Fortescue Metals Group Ltd,601533,40242,9476747,2010,8,2011,7
Foster's Group Limited,61074,132154,1391830,2010,8,2011,7
Frequency Infrastructure Australia Holdings Pty Ltd,1814,153913,627911,2010,8,2011,7
Frito-Lay Australia Holdings Pty Limited,35622,36239,818834,2010,8,2011,7
Fugro Holdings (Australia) Pty Ltd,74257,3809,1080103,2010,8,2011,7
Fujitsu Australia Limited,179,72364,276402,2010,8,2011,7
Fulton Hogan Australia Pty/Ltd,111374,23158,7965400,2010,8,2011,7
