Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
TRUenergy Holdings Pty Ltd,16143406,226831,227040383,2010,8,2011,7
TT-Line Company Pty Ltd,151206,1557,2179071,2010,8,2011,7
Tyco Flow Control International Pty Ltd,22926,38866,479145,2010,8,2011,7
United Energy Distribution Holdings Pty Limited,4754,546418,1661784,2010,8,2011,7
University of Melbourne,15039,121938,641685,2010,8,2011,7
University of New South Wales,5625,62187,356986,2010,8,2011,7
V/Line Corporation,84664,12237,1249257,2010,8,2011,7
Valmont Group Holdings Pty Ltd,15614,48156,488834,2010,8,2011,7
Veolia Transport Australasia Pty Ltd,62388,5576,1016321,2010,8,2011,7
Veolia Water Australia Pty Ltd,2935,313050,1313500,2010,8,2011,7
Versacold Logistics Limited,7203,47497,280510,2010,8,2011,7
Virgin Blue Holdings Ltd,1887287,13081,27165476,2010,8,2011,7
Vodafone Hutchison Australia Pty Ltd,36,130532,503609,2010,8,2011,7
Wagner Investments Pty Ltd,20925,31668,431017,2010,8,2011,7
Warrnambool Cheese and Butter Factory Company Holdings Limited,29024,46145,650428,2010,8,2011,7
Washington H. Soul Pattinson and Company Limited,300306,46349,2041376,2010,8,2011,7
Waste Assets Management Corporation,138570,1717,35571,2010,8,2011,7
Water Corporation,114311,491581,2686342,2010,8,2011,7
Wesfarmers Limited,2306327,2737903,39999508,2010,8,2011,7
Western Areas NL,28373,41584,598747,2010,8,2011,7
Westfield Holdings Limited,21662,318919,1545563,2010,8,2011,7
Westpac Banking Corporation,6642,175077,803424,2010,8,2011,7
Westside Corporation Limited,44455,11368,296227,2010,8,2011,7
Whitehaven Coal Limited,448377,12454,1658975,2010,8,2011,7
Wilmar Australia Holdings Pty Limited,55235,76918,7055662,2010,8,2011,7
Woodside Petroleum Ltd.,8229511,10404,1543504177,2010,8,2011,7
Woolworths Ltd,276084,2493899,10514320,2010,8,2011,7
Xstrata Holdings Pty Ltd,2737996,1165274,20487681,2010,8,2011,7
Xstrata Nickel Holdings Pty Limited,62074,207,1239123,2010,8,2011,7
Yancoal Australia Pty Limited,992582,139342,2639025,2010,8,2011,7
Yu Feng Pty Ltd,0,55221,223364,2010,8,2011,7
