Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ),Begin year,Begin Month,End year,End Month
BILLITON MANGANESE AUSTRALIA PTY LTD ,33084205014,582711,174351,9545503,2013,8,2014,7
BLACKTOWN WASTE SERVICES PTY LIMITED ,21102860944,51221,92,14608,2013,8,2014,7
BLUESCOPE STEEL LIMITED ,16000011058,5699865,917908,69324056,2013,8,2014,7
BLUEWATERS POWER 1 PTY LTD ,93106034879,1298437,4138,8470090,2013,8,2014,7
BLUEWATERS POWER 2 PTY LTD ,57122896968,1302864,1045,8227734,2013,8,2014,7
BM ALLIANCE COAL OPERATIONS PTY LTD ,67096412752,2199209,999466,25886049,2013,8,2014,7
BOC LIMITED ,95000029729,23425,563217,2913943,2013,8,2014,7
BOEING AUSTRALIA HOLDINGS PROPRIETARY LIMITED ,42101168932,7875,42322,277952,2013,8,2014,7
BORAL LIMITED ,13008421761,1979924,443323,17015736,2013,8,2014,7
BORG MANUFACTURING PTY LIMITED ,31003246357,32561,100056,1711489,2013,8,2014,7
BP AUSTRALIA INVESTMENTS PTY LTD ,66102991551,1367801,480056,31585049,2013,8,2014,7
BRADKEN LIMITED ,33108693009,27683,72440,839387,2013,8,2014,7
BRICKWORKS LTD ,17000028526,224005,96020,4596110,2013,8,2014,7
BRISBANE CITY COUNCIL ,72002765795,203934,17141,1714112,2013,8,2014,7
BUILDING SUPPLIES GROUP HOLDINGS PTY LIMITED ,88121366041,50806,176146,6759714,2013,8,2014,7
C S ENERGY LIMITED 1,54078848745,9942184,168445,72706422,2013,8,2014,7
CALEDON COAL PTY LIMITED ,40120967839,104624,16960,137827,2013,8,2014,7
CALTEX AUSTRALIA LIMITED ,40004201307,1704466,269848,74373816,2013,8,2014,7
CARGILL AUSTRALIA LIMITED ,42004684173,91564,62839,1957095,2013,8,2014,7
CBH RESOURCES LIMITED ,27009423858,10248,84972,501215,2013,8,2014,7
CEMENT AUSTRALIA HOLDINGS PTY LTD ,99001085561,2505669,217751,11997754,2013,8,2014,7
CEMENT AUSTRALIA PTY LIMITED ,75104053474,39390,10793,617964,2013,8,2014,7
CENTENNIAL COAL COMPANY LIMITED ,30003714538,1302610,282518,1615454,2013,8,2014,7
CEVA PTY LTD ,27122147433,99965,31351,1550389,2013,8,2014,7
CHARTER HALL LIMITED ,57113531150,6007,103724,476254,2013,8,2014,7
CHEMCO PTY LTD ,68008725817,38195,144803,3202423,2013,8,2014,7
CHEVRON AUSTRALIA HOLDINGS PTY LTD ,60098079344,674280,11601,11252966,2013,8,2014,7
CHINOVA  RESOURCES LIMITED ,20107689878,53562,59,930183,2013,8,2014,7
CITIC PACIFIC MINING MANAGEMENT PTY LTD ,64119578371,372265,293,6956846,2013,8,2014,7
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS ,13332330749,13596,480063,2953958,2013,8,2014,7
CLIFFS ASIA PACIFIC IRON ORE PTY LTD ,46001892995,155698,342,2262099,2013,8,2014,7
CMOC MINING PTY LIMITED ,17164997317,8865,130883,670834,2013,8,2014,7
COCA-COLA AMATIL LIMITED ,26004139397,47223,144555,1409997,2013,8,2014,7
COCKATOO COAL LIMITED ,13112682158,53542,0,613413,2013,8,2014,7
COMFORTDELGRO CABCHARGE PTY LTD ,84002072004,80788,3545,1169322,2013,8,2014,7
COMGEN AUSTRALIA PTY LTD ,17050242441,399089,12258,1219842,2013,8,2014,7
COMMONWEALTH BANK OF AUSTRALIA ,48123123124,11691,158881,828400,2013,8,2014,7
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION ,41687119230,15184,108901,692902,2013,8,2014,7
COMPETITIVE FOODS AUSTRALIA PTY LTD ,48010542908,21469,135733,961375,2013,8,2014,7
CONOCOPHILLIPS AUSTRALIA GAS HOLDINGS PTY LTD ,69081089170,2414412,2576,275076096,2013,8,2014,7
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LTD ,88127662257,68609,678,1003133,2013,8,2014,7
CONTRACT POWER AUSTRALIA PTY LTD ,48081538258,105367,0,1502962,2013,8,2014,7
CO-OPERATIVE BULK HANDLING LIMITED ,29256604947,9836,55258,396497,2013,8,2014,7
CRAIG MOSTYN HOLDINGS PTY LIMITED ,14008398356,40323,14831,451502,2013,8,2014,7
CRISTAL AUSTRALIA PTY LTD ,21102888559,71940,82554,1383406,2013,8,2014,7
CRISTAL INORGANIC CHEMICALS AUSTRALIA PTY LTD ,20125123784,122114,43527,2351798,2013,8,2014,7
CROCODILE GOLD AUSTRALIA PTY LTD ,30136505587,10850,40522,367166,2013,8,2014,7
CROWN RESORTS LIMITED ,39125709953,33748,140991,1028316,2013,8,2014,7
CSL LIMITED ,99051588348,13910,70803,487385,2013,8,2014,7
CSR LIMITED ,90000001276,308605,226040,5933439,2013,8,2014,7
CST MINERAL LADY ANNIE PTY LIMITED ,90136930222,22834,28346,520735,2013,8,2014,7
D&R HENDERSON PTY LTD ,22000449392,17454,40255,595312,2013,8,2014,7
DALRYMPLE BAY COAL TERMINAL PTY. LTD. ,12010268167,1378,90046,416060,2013,8,2014,7
DAVID JONES LIMITED ,75000074573,5013,82690,355277,2013,8,2014,7
DBNGP (WA) TRANSMISSION PTY LIMITED ,69081609190,272025,1581,4772087,2013,8,2014,7
DEAKIN UNIVERSITY ,56721584203,8196,56067,327547,2013,8,2014,7
DELTA ELECTRICITY ,67139819642,8221081,60285,58240376,2013,8,2014,7
DEXUS HOLDINGS PTY LIMITED ,48110366946,10745,118875,591107,2013,8,2014,7
DIAMANTINA HOLDING COMPANY PTY LIMITED ,59149762130,160330,315,2359801,2013,8,2014,7
DORAL PTY LTD ,85008902841,14560,44962,437803,2013,8,2014,7
DOWNER EDI LIMITED ,97003872848,155319,44406,2996080,2013,8,2014,7
DP WORLD AUSTRALIA (HOLDING) PTY LTD ,58147892715,28317,48794,678287,2013,8,2014,7
EASTERN HEALTH ,68223819017,6090,47012,257747,2013,8,2014,7
EASTERN METROPOLITAN REGIONAL COUNCIL ,89631866056,98772,771,35311,2013,8,2014,7
ECHO ENTERTAINMENT GROUP LIMITED ,85149629023,9566,103865,627242,2013,8,2014,7
ECOGEN HOLDINGS PTY LTD ,78102872524,139288,30146,1994297,2013,8,2014,7
ELECTRANET PTY LIMITED ,41094482416,4352,206344,1228984,2013,8,2014,7
ELECTRICITY GENERATION AND RETAIL CORPORATION ,58673830106,6617265,4480,54793330,2013,8,2014,7
ELECTRICITY NETWORKS CORPORATION ,18540492861,42864,928103,4801331,2013,8,2014,7
ENDEAVOUR ENERGY ,59253130878,21901,574103,2658628,2013,8,2014,7
ENERGEX LIMITED ,40078849055,21025,948525,4613821,2013,8,2014,7
ENERGY DEVELOPMENTS LIMITED ,84053410263,1276231,2385,19042697,2013,8,2014,7
ENERGYAUSTRALIA HOLDINGS LIMITED ,57101876135,20605152,221209,162140172,2013,8,2014,7
ERGON ENERGY CORPORATION LIMITED ,50087646062,97204,759792,4281443,2013,8,2014,7
ERM POWER LIMITED ,28122259223,94115,5622,1326378,2013,8,2014,7
ESPERANCE POWER STATION PTY LTD ,24086409949,59812,0,1158092,2013,8,2014,7
ESSENTIAL ENERGY ,37428185226,36166,775165,3629800,2013,8,2014,7
EVOLUTION MINING LIMITED ,74084669036,75487,206214,2054394,2013,8,2014,7
EXXONMOBIL AUSTRALIA PTY LTD ,48091561198,2295329,251217,185657635,2013,8,2014,7
F & F MANAGEMENT PTY. LTD ,36133040721,1532,60856,268263,2013,8,2014,7
FAIRFAX MEDIA LIMITED ,15008663161,8357,60572,361801,2013,8,2014,7
FARSTAD SHIPPING (INDIAN PACIFIC) PTY. LTD. ,40105011989,199686,0,2891198,2013,8,2014,7
FEDERATION LIMITED ,90114757783,3073,103185,448470,2013,8,2014,7
FLETCHER BUILDING (AUSTRALIA) PTY LTD ,11093539452,81823,301359,3939219,2013,8,2014,7
FMR INVESTMENTS PTY LTD  ,24757019296,46394,12500,731321,2013,8,2014,7
FOOD INVESTMENTS PTY LTD ,85008426177,96127,139528,2173379,2013,8,2014,7
FORD MOTOR COMPANY OF AUSTRALIA LIMITED ,30004116223,18031,144562,778577,2013,8,2014,7
FORESTRY CORPORATION OF NEW SOUTH WALES ,43141857613,64583,1498,933167,2013,8,2014,7
FORTESCUE METALS GROUP LTD ,57002594872,1563779,289920,24205083,2013,8,2014,7
FOSTER'S GROUP PTY LTD ,49007620886,39741,82611,1016698,2013,8,2014,7
FQM AUSTRALIA HOLDINGS PTY LTD ,77136613075,124445,28,2879601,2013,8,2014,7
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD ,27136262952,2222,120409,529226,2013,8,2014,7
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED ,36099027746,31431,32292,732155,2013,8,2014,7
FUJITSU AUSTRALIA LIMITED ,19001011427,719,122032,498318,2013,8,2014,7
FULTON HOGAN AUSTRALIA PTY LTD ,42135849115,86205,20551,1595873,2013,8,2014,7
GENERAL MOTORS AUSTRALIA LTD ,85103162956,31693,92803,1039371,2013,8,2014,7
GHP 104 160 689 PTY LTD ,41104160689,3380554,1184521,22565608,2013,8,2014,7
GLADSTONE PORTS CORPORATION LIMITED ,96263788242,42606,72085,1050783,2013,8,2014,7
GLENCORE INVESTMENT PTY LTD ,67076513034,551655,262,7536522,2013,8,2014,7
GLIDECO PTY LIMITED  ,25147996263,12812,85781,542613,2013,8,2014,7
GLOBAL SWITCH AUSTRALIA PTY LIMITED ,65094338333,72,145282,602207,2013,8,2014,7
GOLD FIELDS AUSTRALIA PTY LTD ,91098385285,240819,155624,4574187,2013,8,2014,7
GOLDFIELDS POWER PTY LTD ,81062186243,139902,0,1871546,2013,8,2014,7
GOODMAN FIELDER LIMITED ,51116399430,26433,55199,726327,2013,8,2014,7
GPT MANAGEMENT HOLDINGS LIMITED ,67113510188,10428,120699,635760,2013,8,2014,7
GRAINCORP LIMITED ,60057186035,103765,177598,2442015,2013,8,2014,7
GRANGE RESOURCES LIMITED ,80009132405,206635,48325,4250339,2013,8,2014,7
GRIFFITH UNIVERSITY ,78106094461,1341,54683,261188,2013,8,2014,7
GWI HOLDINGS NO.2 PTY LTD ,53132989998,108008,2280,1568796,2013,8,2014,7
HAMSDALE AUSTRALIA PTY LIMITED ,37097393112,23496,31525,484731,2013,8,2014,7
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED ,48090994657,179835,59532,2811730,2013,8,2014,7
HARVEY NORMAN HOLDINGS LIMITED ,54003237545,5797,139417,666727,2013,8,2014,7
HEALTHSCOPE HOSPITALS HOLDINGS PTY LTD ,65144840639,14358,95414,672030,2013,8,2014,7
HEWLETT-PACKARD SOUTH PACIFIC PTY LTD ,94121554489,325,122143,474729,2013,8,2014,7
HILLGROVE RESOURCES LIMITED ,73004297116,32048,27046,723354,2013,8,2014,7
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD ,46122401405,180339,89547,3028714,2013,8,2014,7
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED ,95003621216,10588,57912,440460,2013,8,2014,7
