Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ),Begin year,Begin Month,End year,End Month
QNI RESOURCES PTY. LTD. ,14054117921,1262086,54087,17672611,2013,8,2014,7
QUBE HOLDINGS LIMITED ,14149723053,222520,12982,3256053,2013,8,2014,7
QUEENSLAND ALUMINA LIMITED ,98009725044,3039245,622644,41600780,2013,8,2014,7
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED ,82078849233,15640,1170527,5187477,2013,8,2014,7
QUEENSLAND NITRATES PTY LTD ,63079889268,185558,54528,3313401,2013,8,2014,7
QUEENSLAND RAIL LIMITED ,71132181090,36196,215668,1467019,2013,8,2014,7
RAMELIUS RESOURCES LIMITED ,51001717540,48721,3318,835805,2013,8,2014,7
RAMSAY HEALTH CARE LIMITED ,57001288768,15204,149270,906242,2013,8,2014,7
RATA INTERNATIONAL PTY LTD ,67109036580,9625,53272,347480,2013,8,2014,7
RATCH - AUSTRALIA CORPORATION LIMITED ,31106617332,176098,6358,1633003,2013,8,2014,7
RCI HOLDINGS PTY LTD ,55101671121,29133,60453,693949,2013,8,2014,7
REDBANK ENERGY LIMITED  4,,0,0,0,2013,8,2014,7
REGIONAL EXPRESS HOLDINGS LIMITED ,18099547270,102385,0,1477879,2013,8,2014,7
REGIONAL POWER CORPORATION ,57955011697,40625,38167,748230,2013,8,2014,7
REGIS RESOURCES LIMITED ,28009174761,175927,0,2529462,2013,8,2014,7
REMONDIS AUSTRALIA PTY LTD  ,95002429781,212473,4371,548171,2013,8,2014,7
RESOLUTE MINING LIMITED ,39097088689,18712,57400,525881,2013,8,2014,7
RICEGROWERS LIMITED ,55007481156,9939,92253,547423,2013,8,2014,7
RIDLEY CORPORATION LIMITED ,33006708765,62277,79807,1538421,2013,8,2014,7
RIO DOCE AUSTRALIA PTY LIMITED ,63112797403,1208901,110717,1482396,2013,8,2014,7
RIO TINTO LIMITED ,96004458404,8955777,9142745,155475759,2013,8,2014,7
RITCHIES STORES PROPRIETARY LIMITED ,61005041814,19302,84575,316144,2013,8,2014,7
RON FINEMORE TRANSPORT PTY. LTD. ,30106495087,64800,445,982561,2013,8,2014,7
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY ,49781030034,7486,70878,360358,2013,8,2014,7
SANDFIRE RESOURCES NL ,55105154185,73113,141,1052881,2013,8,2014,7
SANTOS LTD ,80007550923,3813163,32671,36026769,2013,8,2014,7
SARACEN MINERAL HOLDINGS LIMITED ,52009215347,87525,58,1268714,2013,8,2014,7
SCENTRE GROUP LIMITED ,66001671496,11943,311983,1403090,2013,8,2014,7
SCOTTS TRANSPORT INDUSTRIES PTY LTD ,79007681398,70534,468,1013275,2013,8,2014,7
SEALED AIR AUSTRALIA (HOLDINGS) PTY LIMITED ,74102261307,4352,47991,211946,2013,8,2014,7
SEDCO FOREX INTERNATIONAL INC ,44188717522,70169,53,1017501,2013,8,2014,7
SEMBSITA AUSTRALIA PTY. LIMITED ,18002658255,558001,36412,1304830,2013,8,2014,7
SGSP (AUSTRALIA) ASSETS PTY LTD ,60126327624,645066,361504,7088848,2013,8,2014,7
SIBELCO ASIA PACIFIC PTY LTD ,70092916811,616979,253262,4917921,2013,8,2014,7
SILICON METAL COMPANY OF AUSTRALIA PTY LTD ,73009401736,81999,440485,4790314,2013,8,2014,7
SILVER LAKE RESOURCES LIMITED ,38108779782,76725,45178,1374118,2013,8,2014,7
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED ,23070571934,62962,61677,1483809,2013,8,2014,7
SIMS METAL MANAGEMENT LIMITED ,69114838630,33455,38192,669094,2013,8,2014,7
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED ,69096686190,2963,358462,1460466,2013,8,2014,7
SNOWY HYDRO LIMITED ,17090574431,19671,95971,681718,2013,8,2014,7
SOJITZ COAL RESOURCES PTY LIMITED ,34063050680,80613,23,1176971,2013,8,2014,7
SONIC HEALTHCARE LIMITED ,24004196909,8158,58023,370179,2013,8,2014,7
SOUTH AUSTRALIAN WATER CORPORATION 3,69336525019,62210,180480,1464422,2013,8,2014,7
SPOTLESS GROUP HOLDINGS LIMITED ,27154229562,38473,41937,874103,2013,8,2014,7
ST BARBARA LIMITED ,36009165066,84007,1267,1443905,2013,8,2014,7
ST JOHN OF GOD HEALTH CARE INC ,21930207958,13680,48588,410672,2013,8,2014,7
ST VINCENT'S HEALTH AUSTRALIA LTD ,75073503536,10611,100515,568260,2013,8,2014,7
STANWELL CORPORATION LIMITED ,37078848674,14601378,50118,114523519,2013,8,2014,7
STATE TRANSIT AUTHORITY OF NSW ,51750635629,154578,8865,2470536,2013,8,2014,7
STOCKLAND CORPORATION LTD ,43000181733,21550,100527,696515,2013,8,2014,7
STRAITS RESOURCES LIMITED ,30147131977,15700,52389,441394,2013,8,2014,7
SUN METALS HOLDINGS LIMITED ,30051538580,15429,679513,2885290,2013,8,2014,7
SUNCORP GROUP LIMITED ,66145290124,6311,46775,290942,2013,8,2014,7
SUNWATER LIMITED ,17020276523,5539,146047,710564,2013,8,2014,7
SUPER RETAIL GROUP LIMITED ,81108676204,965,81088,343653,2013,8,2014,7
SVITZER AUSTRALASIA SERVICES PTY LIMITED ,18120555375,53891,3167,784006,2013,8,2014,7
SYDNEY AIRPORT LIMITED ,18165056360,5024,85425,439399,2013,8,2014,7
SYDNEY TRAINS ,38284779682,11793,547192,2435889,2013,8,2014,7
SYDNEY WATER CORPORATION ,49776225038,58108,301851,2145633,2013,8,2014,7
TEEKAY HOLDINGS AUSTRALIA PTY LTD ,12125391880,75999,228,1042555,2013,8,2014,7
TELSTRA CORPORATION LIMITED ,33051775556,52554,1298110,5946071,2013,8,2014,7
TEYS AUSTRALIA PTY LTD ,38009872600,147734,113852,1700103,2013,8,2014,7
THALES AUSTRALIA HOLDINGS PTY LTD ,84058583841,37926,47655,534337,2013,8,2014,7
THE TRUSTEE FOR BESTFRESH TRUST ,72534822931,41041,48362,722728,2013,8,2014,7
THE TRUSTEE FOR BYRNS SMITH UNIT TRUST ,37757194158,79931,6986,1175347,2013,8,2014,7
THE TRUSTEE FOR R.G. WITHERS UNIT TRUST ,33162985937,658,127370,481132,2013,8,2014,7
THE TRUSTEE FOR THE LACHLAN A KENNETT FAMILY TRUST ,68835612007,77017,0,13278,2013,8,2014,7
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST ,63604564597,68481,454,182655,2013,8,2014,7
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.) ,25548385225,15736,79972,599748,2013,8,2014,7
THE UNIVERSITY OF QUEENSLAND ,63842912684,1958,128843,593281,2013,8,2014,7
THE VALSPAR (AUSTRALIA) PAINT ACQUISITION PTY LIMITED ,39144866464,45025,11296,805008,2013,8,2014,7
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LTD ,20105099849,29533,36977,642789,2013,8,2014,7
TIDEWATER MARINE AUSTRALIA ,52101311451,56620,103,810524,2013,8,2014,7
TIGER AIRWAYS AUSTRALIA PTY LIMITED ,52124369008,334116,0,4800327,2013,8,2014,7
TOGA PTY LTD ,27000926947,5847,53236,331998,2013,8,2014,7
TOLL HOLDINGS LIMITED ,25006592089,524759,80457,7879265,2013,8,2014,7
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED ,64009686097,32101,112315,947324,2013,8,2014,7
TRANSALTA ENERGY (AUSTRALIA) PTY LTD ,40062135844,794387,22,10175662,2013,8,2014,7
TRANSDEV AUSTRALASIA PTY LTD ,40079303816,122071,6014,1869614,2013,8,2014,7
TRANSEND NETWORKS PTY LTD ,57082586892,2645,88434,1597231,2013,8,2014,7
TRANSFIELD SERVICES LIMITED ,69000484417,56254,21598,934983,2013,8,2014,7
TRANSGRID ,19622755774,17258,1222576,5138049,2013,8,2014,7
TRANSIT SYSTEMS PTY LTD ,34135200609,74961,2660,1344201,2013,8,2014,7
TRANSPACIFIC INDUSTRIES GROUP LTD ,74101155220,559304,33450,2579636,2013,8,2014,7
TREASURY WINE ESTATES LIMITED ,24004373862,10693,46614,351581,2013,8,2014,7
TRILITY GROUP PTY LTD ,39144522565,2558,111271,605100,2013,8,2014,7
TRONOX MANAGEMENT PTY LTD ,59009343364,539249,160211,9945022,2013,8,2014,7
TT-LINE COMPANY PTY. LTD. ,39061996174,140775,1179,1815718,2013,8,2014,7
UNITED ENERGY DISTRIBUTION HOLDINGS PTY LIMITED ,15104381660,5913,480486,1563794,2013,8,2014,7
UNIVERSITY OF MELBOURNE ,84002705224,14739,132813,683942,2013,8,2014,7
UNIVERSITY OF NEW SOUTH WALES ,57195873179,6430,66025,395032,2013,8,2014,7
UNIVERSITY OF SYDNEY ,15211513464,6741,87746,485088,2013,8,2014,7
V/LINE CORPORATION ,,86065,19364,1295197,2013,8,2014,7
VALMONT GROUP HOLDINGS PTY LTD ,60094882210,13443,43104,441882,2013,8,2014,7
VAN OORD DREDGING & MARINE CONTRACTORS BV ,,124783,53,1706713,2013,8,2014,7
VENTURA MOTORS PROPRIETARY LIMITED ,67004235518,52115,3275,758695,2013,8,2014,7
VEOLIA WATER AUSTRALIA PTY LTD ,99061161279,34264,46065,631468,2013,8,2014,7
VERMILION OIL AND GAS AUSTRALIA PTY LTD ,29113023591,57032,150,721385,2013,8,2014,7
VICTORIA POWER NETWORKS PTY LTD ,37116940820,24931,1222784,4088119,2013,8,2014,7
VILLAGE ROADSHOW LIMITED ,43010672054,3805,60290,304545,2013,8,2014,7
VIRGIN AUSTRALIA HOLDINGS LIMITED ,54100686226,2239625,18051,32252291,2013,8,2014,7
VIVA ENERGY AUSTRALIA GROUP LTD ,60004400220,1059857,261536,18945455,2013,8,2014,7
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED ,76096304620,179,145219,595673,2013,8,2014,7
WA COUNTRY HEALTH SERVICE ,28680145816,11360,50521,422051,2013,8,2014,7
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED ,15071945232,26833,43795,656257,2013,8,2014,7
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED ,49000002728,145589,42658,1946832,2013,8,2014,7
WASTE ASSETS MANAGEMENT CORPORATION ,56784733957,150211,1425,38402,2013,8,2014,7
WATER CORPORATION ,28003434917,81813,641308,3495111,2013,8,2014,7
WESFARMERS LIMITED ,28008984049,1376889,2572721,30045988,2013,8,2014,7
WESTPAC BANKING CORPORATION ,33007457141,5338,163352,764370,2013,8,2014,7
WHITEHAVEN COAL LIMITED ,68124425396,406231,59381,2212164,2013,8,2014,7
WILMAR AUSTRALIA HOLDINGS PTY LIMITED ,79144972743,169210,105399,41188021,2013,8,2014,7
WOLLONGONG COAL LIMITED ,28111244896,268430,33962,155184,2013,8,2014,7
WOODSIDE PETROLEUM LTD. ,55004898962,10050702,7508,1272113452,2013,8,2014,7
WOOLWORTHS LTD ,88000014675,293845,2455016,10659660,2013,8,2014,7
YANCOAL AUSTRALIA LTD ,82111859119,1109734,214200,5781797,2013,8,2014,7
YARA PILBARA FERTILISERS PTY LTD ,74095441151,1857739,0,31741038,2013,8,2014,7
YFG SHOPPING CENTRES  PTY LTD ,56853441699,0,51815,227480,2013,8,2014,7
